Origin Dataset;From;Target ;Type Corresp.;Description;
NBA dataset;date;Date;1-1;-;
NBA dataset;season;Season;1-1;-;
NBA dataset;playoff;Playoff;1-1;-;
NBA dataset;team1;Team1;1-1;-;
NBA dataset;team2;Team2;1-1;-;
NBA dataset;score1;Score1;1-1;-;
NBA dataset;score2;Score2;1-1;-;
Air Pollution;State;State;1-1;-;
Air Pollution;County;County;1-1;-;
Air Pollution;City;City;1-1;-;
Air Pollution;Date;Date;1-1;-;
Air Pollution;O3 AQI;O3 AQI;1-1;-;
Air Pollution;CO AQI;CO AQI;1-1;-;
Air Pollution;SO2 AQI;SO2 AQI;1-1;-;
Air Pollution;NO2 AQI;NO2 AQI;1-1;-;
US Traffic;Severity;Severity;1-1;-;
US Traffic;Start_Time;Start_Time;1-1;Conversion to the format YYYY-MM-DD;
US Traffic;City;City;1-1;-;
US Traffic;State;State;1-1;-;
US Traffic;Amenity;Amenity;1-1;-;
US Traffic;Bump;Bump;1-1;-;
US Traffic;Crossing;Crossing;1-1;-;
US Traffic;Give_Way;Give_Way;1-1;-;
US Traffic;Junction;Junction;1-1;-;
US Traffic;No_Exit;No_Exit;1-1;-;
US Traffic;Railway;Railway;1-1;-;
US Traffic;Roundabout;Roundabout;1-1;-;
US Traffic;Station;Station;1-1;-;
US Traffic;Stop;Stop;1-1;-;
US Traffic;Traffic_Calming;Traffic_Calming;1-1;-;
US Traffic;Traffic_Signal;Traffic_Signal;1-1;-;
NBA Teams;abbreviation;Abbreviation;1-1;-;
NBA Teams;city;city;1-1;-;
NBA Teams;state;state;1-1;-;